iter	Logloss
0	0.6254077087
1	0.5603741894
2	0.5134075482
3	0.4787473669
4	0.4516651968
5	0.4251372465
6	0.4073379388
7	0.3929474513
8	0.3808658187
9	0.3719535036
10	0.3632679171
11	0.3569646624
12	0.3504885258
13	0.3465760052
14	0.3414670492
15	0.3385780433
16	0.3342785113
17	0.3314059187
18	0.3282006134
19	0.3252876154
20	0.3230849041
21	0.3208755878
22	0.3188298187
23	0.3176183536
24	0.3164430924
25	0.3150793376
26	0.3137462837
27	0.3125961788
28	0.3111370605
29	0.3097647733
30	0.3090985784
31	0.3082734482
32	0.3068846369
33	0.306267239
34	0.3054789557
35	0.3048034511
36	0.3040607555
37	0.3031111804
38	0.3024939035
39	0.3019257991
40	0.3011983031
41	0.3009048921
42	0.300420085
43	0.2999426841
44	0.2994961902
45	0.2990766038
46	0.2986118623
47	0.2982909888
48	0.2980087669
49	0.2974368232
50	0.2970184664
51	0.2964976338
52	0.2960730095
53	0.2957394065
54	0.2954462845
55	0.2950511562
56	0.2947347056
57	0.2944763811
58	0.2941841482
59	0.2938971797
60	0.2935735824
61	0.2930017422
62	0.2928865408
63	0.2926227507
64	0.2923509975
65	0.2920713466
66	0.2916260384
67	0.2913348985
68	0.2910806858
69	0.2907007788
70	0.2905712935
71	0.2902676603
72	0.2901428914
73	0.2899488067
74	0.2897062054
75	0.2896399466
76	0.2893061937
77	0.2890197661
78	0.2885633938
79	0.2883993881
80	0.287226783
81	0.2869023307
82	0.2866365961
83	0.2864349955
84	0.2862054058
85	0.2859698359
86	0.2857784491
87	0.2848876254
88	0.284606324
89	0.2843604839
90	0.2841577345
91	0.2838752023
92	0.2837750908
93	0.2833165494
94	0.2831415607
95	0.283005171
96	0.2828217311
97	0.2826203046
98	0.2824333713
99	0.2822433389
100	0.282180852
101	0.2818702413
102	0.2817855932
103	0.2816611955
104	0.2815402835
105	0.2814101535
106	0.281326349
107	0.2811194818
108	0.2809577014
109	0.2808438819
110	0.2806868042
111	0.2799031568
112	0.2797834169
113	0.2795338128
114	0.2793939597
115	0.27918561
116	0.2789900199
117	0.2789064925
118	0.2787313895
119	0.2785468727
120	0.2783973864
121	0.2777679705
122	0.2775531398
123	0.2772411637
124	0.2770464586
125	0.2769801257
126	0.2767122551
127	0.2765857863
128	0.2762576082
129	0.2761238266
130	0.2760969976
131	0.2759946263
132	0.2758819718
133	0.275791697
134	0.2756963477
135	0.2751070614
136	0.2750105831
137	0.2746734665
138	0.2744296005
139	0.2741375381
140	0.2739922624
141	0.2738525622
142	0.2737656359
143	0.2736162186
144	0.2734265456
145	0.2732524839
146	0.2730889662
147	0.272969308
148	0.2723072011
149	0.2720744862
150	0.2718787649
151	0.2717849354
152	0.2716394452
153	0.2711845458
154	0.2711492734
155	0.2710471012
156	0.2705796565
157	0.2704534207
158	0.2703431427
159	0.2701704024
160	0.2698122666
161	0.2696488371
162	0.2694916837
163	0.2694371132
164	0.2692340537
165	0.2691014996
166	0.2689756693
167	0.2688252245
168	0.2687576114
169	0.2683255326
170	0.2681088115
171	0.2679898242
172	0.2677273886
173	0.267614414
174	0.2674129083
175	0.2672959136
176	0.2671611677
177	0.2669736004
178	0.2668574528
179	0.2667802713
180	0.2666551614
181	0.2666056207
182	0.2659907765
183	0.2659125314
184	0.2657246304
185	0.265599625
186	0.2655681565
187	0.2653796424
188	0.2653327163
189	0.2651409204
190	0.2650203001
191	0.2648666125
192	0.2647366465
193	0.2646176771
194	0.2645339986
195	0.2645095255
196	0.2643710503
197	0.2642064093
198	0.2641384747
199	0.2637549894
200	0.2636335868
201	0.2634349382
202	0.2633747197
203	0.263244691
204	0.2631535608
205	0.2631030299
206	0.2630477454
207	0.2630179244
208	0.2628810284
209	0.2627056285
210	0.2625976135
211	0.262497488
212	0.2623586397
213	0.2622608827
214	0.2621456028
215	0.2617849644
216	0.2617273269
217	0.2616798124
218	0.2614962881
219	0.2614433118
220	0.2612508805
221	0.2610649174
222	0.2610090674
223	0.2608872086
224	0.2607743141
225	0.2607273592
226	0.2605990516
227	0.2604414961
228	0.260309429
229	0.2601711769
230	0.2601216215
231	0.2600471353
232	0.2599319964
233	0.2597626875
234	0.259664828
235	0.259625224
236	0.2595925803
237	0.2595055132
238	0.2594652739
239	0.2593092801
240	0.2590324684
241	0.258732938
242	0.25870062
243	0.2585700735
244	0.2581356684
245	0.258089847
246	0.2580129151
247	0.2577771556
248	0.2576316326
249	0.2575263821
250	0.2574289479
251	0.2572362085
252	0.2571135414
253	0.2569903944
254	0.2569540829
255	0.256876542
256	0.2567278702
257	0.2566513417
258	0.2565546284
259	0.2564875541
260	0.2564075634
261	0.2563201028
262	0.256208411
263	0.2560709027
264	0.2558849065
265	0.2558485089
266	0.2557187166
267	0.2554701431
268	0.2554342639
269	0.2553418545
270	0.2552695119
271	0.2550905713
272	0.2550429202
273	0.2548610783
274	0.2547913874
275	0.2546462475
276	0.2545566765
277	0.2544414587
278	0.2542796626
279	0.2541868997
280	0.2540503354
281	0.2539785832
282	0.2538942179
283	0.2538043023
284	0.2536936639
285	0.2536686898
286	0.2535555766
287	0.2534458427
288	0.2533176986
289	0.2532799129
290	0.2532210236
291	0.2531130856
292	0.2530701559
293	0.252966647
294	0.2527883771
295	0.2527122694
296	0.2526125896
297	0.2524840361
298	0.2523925884
299	0.2522568654
300	0.2521941202
301	0.2521201194
302	0.2520659665
303	0.2519612817
304	0.2518837949
305	0.2517628269
306	0.2517063404
307	0.251656897
308	0.2516437174
309	0.2515941579
310	0.2515584897
311	0.251460756
312	0.251325772
313	0.2512535538
314	0.251175402
315	0.251062294
316	0.2510354057
317	0.2509703205
318	0.2508421364
319	0.2508197349
320	0.2507749334
321	0.2506751045
322	0.2505925245
323	0.2505780327
324	0.2505162822
325	0.2503485131
326	0.2503207311
327	0.2502289921
328	0.2501646576
329	0.2500557427
330	0.249965066
331	0.2499041514
332	0.2498664564
333	0.2497973076
334	0.2497817042
335	0.2497116655
336	0.2495937767
337	0.2493971263
338	0.249325095
339	0.249036208
340	0.2489444578
341	0.2488830256
342	0.2488349471
343	0.2487043032
344	0.2486174219
345	0.2485326727
346	0.248480675
347	0.2484276652
348	0.2483329281
349	0.2482229177
350	0.2481451057
351	0.2480833611
352	0.2479499724
353	0.2479249106
354	0.2478775328
355	0.2478063856
356	0.2476656373
357	0.2476387356
358	0.2475523774
359	0.2475131603
360	0.247434329
361	0.2474029722
362	0.2473347527
363	0.2472022881
364	0.2471324892
365	0.2470228023
366	0.2469620036
367	0.2469105804
368	0.2468221098
369	0.2467557967
370	0.2466842346
371	0.2466389062
372	0.2464899661
373	0.2463915019
374	0.2462365232
375	0.2462165563
376	0.2461662787
377	0.2461139867
378	0.246072505
379	0.2460487539
380	0.2459591409
381	0.2458840323
382	0.2457338798
383	0.2456531434
384	0.2456203651
385	0.2455581092
386	0.2454981971
387	0.2454205603
388	0.2453031277
389	0.2452397137
390	0.2451711233
391	0.2450764496
392	0.2450137249
393	0.2449717699
394	0.2448841234
395	0.244758268
396	0.2446072064
397	0.2445881772
398	0.2445457436
399	0.2444906698
400	0.2444540558
401	0.2442943011
402	0.2442527939
403	0.2441915237
404	0.244076718
405	0.2439580765
406	0.2439198034
407	0.2438809308
408	0.24382412
409	0.2437719122
410	0.243681375
411	0.2436276617
412	0.2435544085
413	0.2434563698
414	0.243400346
415	0.2433066238
416	0.2432373164
417	0.2431709374
418	0.2430281436
419	0.2429716349
420	0.2429258285
421	0.242867108
422	0.2427661011
423	0.2426480796
424	0.2425890017
425	0.2425110819
426	0.2423602556
427	0.2423225216
428	0.2422898608
429	0.2422206507
430	0.2420636318
431	0.2420254065
432	0.2419638971
433	0.2418802953
434	0.2417298466
435	0.2416767485
436	0.2416206905
437	0.2415241881
438	0.241472887
439	0.2414377719
440	0.2413705451
441	0.241332119
442	0.2412648319
443	0.2411459896
444	0.240992487
445	0.2408976338
446	0.2407890899
447	0.2407449072
448	0.2406408322
449	0.2405988271
450	0.2405176883
451	0.2404559239
452	0.240371155
453	0.2402973688
454	0.2401913856
455	0.2401356255
456	0.2400795172
457	0.2399634411
458	0.2398742152
459	0.2397893227
460	0.2397415025
461	0.23967197
462	0.2395531889
463	0.2395097413
464	0.2394152501
465	0.2393899705
466	0.2393246498
467	0.2392706118
468	0.239246677
469	0.2391499006
470	0.2391321881
471	0.2390059233
472	0.2389366836
473	0.2388874824
474	0.2386582365
475	0.2386229206
476	0.2384035247
477	0.2383797895
478	0.2383396694
479	0.2382032517
480	0.2381467853
481	0.2380975756
482	0.2380163695
483	0.2379718175
484	0.2379140742
485	0.2378793098
486	0.237796166
487	0.2377590366
488	0.2376815772
489	0.2376619811
490	0.2376260712
491	0.2375492479
492	0.2374385264
493	0.237336437
494	0.2372407975
495	0.2371361295
496	0.2370803003
497	0.2370474697
498	0.2370111682
499	0.2369445417
